ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;salas_lançamento;maximo_salas_ocupadas;publico_acumulado;renda_acumulada
2013;Anna Karenina;Ficção;Reino Unido;Estrangeiros;15/03/2013;Universal;36;36;158855;2185675
2013;2 mais 2;Ficção;Argentina;Estrangeiros;17/05/2013;Paris;36;36;24294;310554.58
2015;Virando a Página;Ficção;Estados Unidos;Estrangeiros;25/06/2015;Diamond Films do Brasil;36;36;19338;333928.19
2016;Little Boy - Além do Impossível;Ficção;Estados Unidos, México;Estrangeiros;10/03/2016;Cinépolis;36;36;7427;130685.69
2017;Os meninos que enganavam nazistas;Ficção;Canadá, França, República Tcheca;Estrangeiros;03/08/2017;Paris;36;36;43788;780591.31
2017;Um Perfil para Dois;Ficção;Alemanha, Bélgica, França;Estrangeiros;09/11/2017;Paris;36;36;26889;437925.4
2017;As duas Irenes;Ficção;Brasil;Brasileiros;14/09/2017;Vitrine Filmes;36;36;12962;96921.34
2017;Exodus - De onde vim não existe mais;Documentário;Alemanha, Brasil;Brasileiros;28/09/2017;Paris/O2 Play;36;36;6280;77573.34
2009;Vigaristas;Ficção;Estados Unidos;Estrangeiros;23/10/2009;Paris;35;35;35698;332218.97
2011;Broder;Ficção;Brasil;Brasileiros;22/04/2011;Sony;35;35;37468;372802.28
2012;O Espião que Sabia Demais;Ficção;Alemanha, França, Reino Unido;Estrangeiros;13/01/2012;Playarte;35;35;139510;1711508.11
2012;O Homem que Mudou o Jogo;Ficção;Estados Unidos;Estrangeiros;17/02/2012;Sony;35;35;94993;1179637
2012;Corações Sujos;Ficção;Brasil;Brasileiros;17/08/2012;Downtown;35;35;42297;452177.72
2012;Ato de Coragem;Ficção;Estados Unidos;Estrangeiros;03/08/2012;Imagem;35;35;20178;240133.1
2014;Apenas uma Chance;Ficção;Estados Unidos, Reino Unido;Estrangeiros;24/07/2014;Diamond Films do Brasil;35;35;36873;581830.02
2014;O Homem Duplicado;Ficção;Canadá, Espanha;Estrangeiros;19/06/2014;Imagem;35;35;34915;459800.5
2014;Inside Llewyn Davis: Balada de um Homem Comum;Ficção;Estados Unidos;Estrangeiros;21/02/2014;Paris;35;35;23619;308824.04
2014;Uma Nova Chance para Amar;Ficção;Estados Unidos;Estrangeiros;18/09/2014;Califórnia;35;35;12710;198398.66
2015;Crimes Ocultos;Ficção;Estados Unidos;Estrangeiros;21/05/2015;Paris;35;35;18179;307072.32
2016;Para Minha Amada Morta;Ficção;Brasil;Brasileiros;31/03/2016;Vitrine Filmes;35;35;7143;89609.13
2017;Divinas Divas;Documentário;Brasil;Brasileiros;22/06/2017;Vitrine Filmes;35;35;33956;253516.81
2009;Che;Ficção;Estados Unidos;Estrangeiros;27/03/2009;Europa;34;34;160588;1443776.79
2009;Che 2 - A Guerrilha;Ficção;Estados Unidos;Estrangeiros;18/09/2009;Europa;34;34;25895;241385.46
2010;Pandorum;Ficção;Estados Unidos;Estrangeiros;26/02/2010;Imagem;34;34;42958;362831.69
2011;Todo mundo tem problemas sexuais;Ficção;Brasil;Brasileiros;13/05/2011;Filmes do Estação;34;34;70673;613486.67
2011;Mamonas para sempre;Documentário;Brasil;Brasileiros;17/06/2011;Europa;34;34;20344;162100.25
2012;Raul, o Início, o Fim e o Meio;Documentário;Brasil;Brasileiros;23/03/2012;Paramount;34;34;170471;1883285
2013;O Inventor de Sonhos;Ficção;Brasil;Brasileiros;11/10/2013;Europa;34;34;3708;41410.44
2014;O Homem Mais Procurado;Ficção;Alemanha, Estados Unidos, Reino Unido;Estrangeiros;09/10/2014;Diamond Films do Brasil;34;34;37641;616899.29
2014;Jersey Boys – Em Busca da Música;Ficção;Estados Unidos;Estrangeiros;26/06/2014;Warner;34;34;20630;346349
2015;As sufragistas;Ficção;Reino Unido;Estrangeiros;24/12/2015;Universal;34;34;124008;1903131.73
2015;A pele de Vênus;Ficção;França;Estrangeiros;24/09/2015;Califórnia;34;34;31085;469119.49
2015;O que as Mulheres Querem;Ficção;França;Estrangeiros;23/07/2015;Alphaville Filmes;34;34;23682;328836.41
2015;Para o que Der e Vier;Ficção;Estados Unidos;Estrangeiros;30/04/2015;Paris;34;34;8656;143046.89
2016;O Shaolin do Sertão;Ficção;Brasil;Brasileiros;13/10/2016;Downtown/Paris;34;34;610741;7973943.72
2017;Paterson;Ficção;Estados Unidos;Estrangeiros;20/04/2017;Fênix Filmes;34;34;48652;788393.53
2017;Joaquim;Ficção;Portugal, Brasil;Brasileiros;20/04/2017;Imovision;34;34;19635;276482.19
2009;Entre os Muros da Escola;Ficção;França;Estrangeiros;13/03/2009;Imovision;33;33;127582;1096639.42
2009;Um Cara Muito Louco...Apaixonado;Ficção;Inglaterra;Estrangeiros;27/03/2009;Califórnia;33;33;21638;169898.91
2010;Querido John;Ficção;Estados Unidos;Estrangeiros;07/05/2010;Sony;33;33;48588;448200.5
2011;Malu de bicicleta;Ficção;Brasil;Brasileiros;04/02/2011;Downtown/RioFilme;33;33;19083;161823.59
2012;As vantagens de ser invisível;Ficção;Estados Unidos;Estrangeiros;19/10/2012;Paris;33;33;71282;788745.25
2014;Uma Viagem Extraordinária;Ficção;França;Estrangeiros;06/11/2014;Califórnia;33;33;14899;252059.49
2014;Profissão de Risco;Ficção;França;Estrangeiros;24/04/2014;Califórnia;33;33;11832;166261.64
2015;Casa Grande;Ficção;Brasil;Brasileiros;16/04/2015;Film Connection/Imovision;33;33;38075;524262.14
2015;118 Dias;Ficção;Estados Unidos;Estrangeiros;05/03/2015;Diamond Films do Brasil;33;33;6766;99799.54
2016;Trumbo: Lista Negra;Ficção;Estados Unidos;Estrangeiros;28/01/2016;Califórnia;33;33;41673;704430.15
2016;Life - Um Retrato de James Dean;Ficção;Alemanha, Austrália, Canadá, Estados Unidos, Reino Unido;Estrangeiros;21/07/2016;Paris;33;33;4905;76620.29
2017;Além das Palavras;Ficção;Bélgica, Reino Unido;Estrangeiros;27/04/2017;Cineart Filmes;33;33;25378;392861.49
2017;O formidável;Ficção;França;Estrangeiros;26/10/2017;Imovision;33;33;20621;307898.61
2017;Além da Ilusão;Ficção;Bélgica, França;Estrangeiros;27/04/2017;Alphaville Filmes;33;33;12529;208172.28
2017;Comeback;Ficção;Brasil;Brasileiros;25/05/2017;O2 Play;33;33;3351;42912.3
2009;O Amor Pede Passagem;Ficção;Estados Unidos;Estrangeiros;11/12/2009;Imagem;32;32;110457;956616.67
2009;O Desinformante;Ficção;Estados Unidos;Estrangeiros;16/10/2009;Warner;32;32;78243;827523
2010;O solteirão;Ficção;Estados Unidos;Estrangeiros;22/10/2010;Califórnia;32;32;63566;674157.69
2010;Os Homens que Não Amavam as Mulheres;Ficção;Alemanha, Dinamarca, Noruega, Suécia;Estrangeiros;14/05/2010;Imagem;32;32;43103;409210.1
2011;Melancolia;Ficção;Alemanha, Dinamarca, França, Suécia;Estrangeiros;05/08/2011;Califórnia;32;32;152123;1583910.15
2011;Biutiful;Ficção;Espanha, México;Estrangeiros;21/01/2011;Paris;32;32;97731;1025003.84
2012;Eu Receberia as Piores Notícias dos seus Lindos Lábios;Ficção;Brasil;Brasileiros;20/04/2012;Sony/RioFilme;32;32;47366;538578.75
2012;O Príncipe do Deserto;Ficção;França, Itália, Qatar, Tunísia;Estrangeiros;13/04/2012;Warner;32;32;28073;345637
2014;Mil Vezes Boa Noite;Ficção;Noruega;Estrangeiros;06/11/2014;Alphaville Filmes;32;32;49570;613489.29
2014;Saint Laurent;Ficção;França;Estrangeiros;13/11/2014;Imovision;32;32;31467;476420.48
2015;De cabeça erguida;Ficção;França;Estrangeiros;17/09/2015;Alphaville Filmes;32;32;18301;223238.2
