ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;salas_lançamento;maximo_salas_ocupadas;publico_acumulado;renda_acumulada
2009;Fumando Espero;Documentário;Brasil;Brasileiros;24/04/2009;Gávea Filmes;136;7;2596;16555.5
2009;Tony Manero;Ficção;Chile;Estrangeiros;10/04/2009;Imovision;136;8;280;2020.5
2011;Os muppets;Ficção;Estados Unidos;Estrangeiros;02/12/2011;Disney;135;276;245715;1983418.79
2011;Walachai;Documentário;Brasil;Brasileiros;18/11/2011;Ciclorama;135;8;1262;11903.08
2012;O abrigo;Ficção;Estados Unidos;Estrangeiros;01/06/2012;Sony;135;3;437;4044.56
2012;Ataque ao prédio;Ficção;Reino Unido;Estrangeiros;13/01/2012;Sony;135;1;162;1552.2
2017;Piratas do Caribe – A Vingança de Salazar;Ficção;Estados Unidos;Estrangeiros;25/05/2017;Disney;1774;1774;3659613;55008892
2015;Jogos Vorazes: A esperança - O final;Ficção;Estados Unidos;Estrangeiros;19/11/2015;Paris;1710;1710;4417940;63915826.73
2017;Homem-Aranha: De Volta ao Lar;Ficção;Estados Unidos;Estrangeiros;06/07/2017;Sony;1661;1661;6686736;102726271.29
2017;Liga da Justiça;Ficção;Estados Unidos;Estrangeiros;15/11/2017;Warner;1649;1649;8442364;132575577
2016;Capitão América: Guerra civil;Ficção;Estados Unidos;Estrangeiros;28/04/2016;Disney;1635;1635;9617668;143337776
2014;Jogos Vorazes: A Esperança - Parte 1;Ficção;Estados Unidos;Estrangeiros;20/11/2014;Paris;1580;1580;4799018;56410075.31
2017;Cinquenta Tons Mais Escuros;Ficção;Estados Unidos;Estrangeiros;09/02/2017;Universal;1574;1574;4628437;66565077
2017;Thor: Ragnarok;Ficção;Estados Unidos;Estrangeiros;26/10/2017;Disney;1566;1566;6359663;99761710
2017;Velozes e Furiosos 8;Ficção;Estados Unidos;Estrangeiros;13/04/2017;Universal;1544;1544;8505215;133423662
2015;Star Wars: Episódio VII - O despertar da Força;Ficção;Estados Unidos;Estrangeiros;17/12/2015;Disney;1505;1505;6725851;110610409
2016;Esquadrão Suicida;Ficção;Estados Unidos;Estrangeiros;04/08/2016;Warner;1475;1475;7828012;118083705
2017;Star Wars: Os últimos jedi;Ficção;Estados Unidos;Estrangeiros;14/12/2017;Disney;1454;1454;3155131;56501850
2016;Batman vs Superman: A Origem da Justiça;Ficção;Estados Unidos;Estrangeiros;24/03/2016;Warner;1440;1440;8565380;132441028
2016;Animais fantásticos e onde habitam;Ficção;Estados Unidos, Reino Unido;Estrangeiros;17/11/2016;Warner;1439;1439;4344507;66373716
2016;A série Divergente: Convergente;Ficção;Estados Unidos;Estrangeiros;10/03/2016;Paris;1429;1429;2016949;26293035.29
2014;X-Men: Dias de um Futuro Esquecido;Ficção;Estados Unidos;Estrangeiros;22/05/2014;Fox;1419;1419;4923664;64417536
2012;A saga Crepúsculo: Amanhecer – Parte 2 O final ;Ficção;Estados Unidos;Estrangeiros;15/11/2012;Paris;1410;1410;9596296;100816443.89
2017;A Bela e a Fera (2017);Ficção;Estados Unidos;Estrangeiros;16/03/2017;Disney;1399;1399;8308489;130084653
2016;Rogue One: Uma História Star Wars;Ficção;Estados Unidos;Estrangeiros;15/12/2016;Disney;1396;1396;2860307;48240427
2017;Guardiões da Galáxia Vol. 2;Ficção;Estados Unidos;Estrangeiros;27/04/2017;Disney;1392;1392;4207641;67529482
2017;Meu Malvado Favorito 3;Animação;Estados Unidos;Estrangeiros;29/06/2017;Universal;1383;1383;8989024;125923345
2016;Doutor Estranho;Ficção;Estados Unidos;Estrangeiros;03/11/2016;Disney;1357;1357;4797756;74735525
2015;Vingadores: A Era de Ultron;Ficção;Estados Unidos;Estrangeiros;23/04/2015;Disney;1356;1356;10129071;146184931
2016;X-Men - Apocalipse;Ficção;Estados Unidos;Estrangeiros;19/05/2016;Fox;1319;1319;4374099;65802459
2017;Mulher-Maravilha;Ficção;Estados Unidos;Estrangeiros;01/06/2017;Warner;1314;1314;7011338;109894366
2017;Annabelle 2: A criação do mal;Ficção;Estados Unidos;Estrangeiros;17/08/2017;Warner;1293;1293;2957275;40537030
2011;A saga crepúsculo: amanhecer - parte 2;Ficção;Estados Unidos;Estrangeiros;18/11/2011;Paris;1278;1278;7159227;66362694.57
2016;Procurando Dory;Animação;Estados Unidos;Estrangeiros;30/06/2016;Disney;1276;1276;8189656;113499127
2014;Rio 2;Animação;Estados Unidos;Estrangeiros;27/03/2014;Fox;1271;1271;5213978;63908026
2013;Homem de ferro 3;Ficção;China, Estados Unidos;Estrangeiros;26/04/2013;Disney;1253;1253;7633751;96493278
2017;Moana - Um Mar de Aventuras;Animação;Estados Unidos;Estrangeiros;05/01/2017;Disney;1228;1228;5147838;71598597
2013;Jogos Vorazes: em Chamas;Ficção;Estados Unidos;Estrangeiros;15/11/2013;Paris;1216;1216;3552801;39921930.23
2017;Logan;Ficção;Estados Unidos;Estrangeiros;02/03/2017;Fox;1211;1211;6400985;91260487
2016;Deuses do Egito;Ficção;Estados Unidos;Estrangeiros;25/02/2016;Paris;1199;1199;1246758;18429739.63
2012;O Hobbit: Uma jornada inesperada;Ficção;Estados Unidos, Nova Zelândia;Estrangeiros;14/12/2012;Warner;1189;1189;2832315;36496911
2016;A Era do Gelo: O Big Bang;Animação;Estados Unidos;Estrangeiros;07/07/2016;Fox;1180;1180;5260867;71250061
2017;Planeta dos macacos: A guerra;Ficção;Estados Unidos;Estrangeiros;03/08/2017;Fox;1176;1176;2694893;42994417.54
2017;Carros 3;Animação;Estados Unidos;Estrangeiros;13/07/2017;Disney;1157;1157;2524401;34529786
2016;Alice Através do Espelho;Ficção;Estados Unidos;Estrangeiros;26/05/2016;Disney;1149;1149;2226154;32042101
2017;Transformers: O último cavaleiro;Ficção;Estados Unidos;Estrangeiros;20/07/2017;Paramount;1148;1148;2858033;43020356
2014;O Espetacular Homem Aranha 2;Ficção;Estados Unidos;Estrangeiros;01/05/2014;Sony;1139;1139;4100615;55227320.56
2016;Pets - A vida secreta dos bichos;Animação;Estados Unidos;Estrangeiros;25/08/2016;Universal;1135;1135;4415952;62073986.57
2016;Ben-Hur (2016);Ficção;Estados Unidos;Estrangeiros;18/08/2016;Paramount;1131;1131;1309875;21343492
2017;A Múmia;Ficção;Estados Unidos;Estrangeiros;08/06/2017;Universal;1128;1128;3052636;47412358
2016;Os Dez Mandamentos - O Filme;Ficção;Brasil;Brasileiros;28/01/2016;Downtown/Paris;1127;1127;11305479;116833026.88
2013;Wolverine Imortal;Ficção;Estados Unidos;Estrangeiros;26/07/2013;Fox;1126;1126;3955564;49174255
2014;Capitão América 2: O soldado invernal;Ficção;Estados Unidos;Estrangeiros;10/04/2014;Disney;1116;1116;4621130;62818373
2014;Planeta dos Macacos: O Confronto;Ficção;Estados Unidos;Estrangeiros;24/07/2014;Fox;1104;1104;4104086;55435732
2015;A Série Divergente - Insurgente;Ficção;Estados Unidos;Estrangeiros;19/03/2015;Paris;1101;1101;2819819;39037040.04
2015;Cinquenta Tons de Cinza;Ficção;Estados Unidos;Estrangeiros;12/02/2015;Universal;1087;1087;6685086;87741026.57
2015;Minions;Animação;Estados Unidos;Estrangeiros;25/06/2015;Universal;1084;1084;8912154;119998788.79
2013;Thor 2 - O Mundo Sombrio;Ficção;Estados Unidos;Estrangeiros;01/11/2013;Disney;1072;1072;4835087;61704866
2016;Mogli - O Menino Lobo;Ficção;Estados Unidos;Estrangeiros;14/04/2016;Disney;1064;1064;2670252;38357958
2016;Minha mãe é uma peça 2;Ficção;Brasil;Brasileiros;22/12/2016;Downtown/Paris;1055;1055;9234363;124681177.82
2014;Transformers: A Era da Extinção;Ficção;China, Estados Unidos;Estrangeiros;17/07/2014;Paramount;1053;1053;4587331;61735674
2015;O Último Caçador de Bruxas;Ficção;Estados Unidos;Estrangeiros;29/10/2015;Paris;1047;1047;2661876;34504325.56
2015;Velozes e Furiosos 7;Ficção;Estados Unidos;Estrangeiros;02/04/2015;Universal;1046;1046;9857968;142466037.02
2016;Invocação do Mal 2;Ficção;Estados Unidos;Estrangeiros;09/06/2016;Warner;1044;1044;3594171;46901147
2012;Os Vingadores - The Avengers;Ficção;Estados Unidos;Estrangeiros;27/04/2012;Disney;1042;1042;10911371;129595590
2014;O Hobbit: A Batalha dos Cinco Exércitos;Ficção;Estados Unidos;Estrangeiros;11/12/2014;Warner;1038;1038;3614094;51152957
2013;Velozes e furiosos 6;Ficção;Estados Unidos;Estrangeiros;24/05/2013;Universal;1030;1030;4521941;49149265
2013;O hobbit: a Desolação de Smaug;Ficção;Estados Unidos, Nova Zelândia;Estrangeiros;13/12/2013;Warner;1029;1029;3017521;41348948
2016;Kung Fu Panda 3;Animação;China, Estados Unidos;Estrangeiros;03/03/2016;Fox;1029;1029;1757761;24714153
2015;Hotel Transilvânia 2;Animação;Estados Unidos;Estrangeiros;24/09/2015;Sony;1025;1025;3275419;42092364.81
2016;Sing - Quem canta seus males espanta;Animação;Estados Unidos;Estrangeiros;22/12/2016;Universal;1025;1025;2701824;35252812
2015;Exterminador do Futuro: Gênesis;Ficção;Estados Unidos;Estrangeiros;02/07/2015;Paramount;1017;1017;2475674;36726832
2011;Rio;Animação;Estados Unidos;Estrangeiros;08/04/2011;Fox;1016;1016;6065545;66020659.41
2014;Noé;Ficção;Estados Unidos;Estrangeiros;03/04/2014;Paramount;1015;1015;4887284;68477613
2012;A Era do Gelo 4;Animação;Estados Unidos;Estrangeiros;29/06/2012;Fox;1010;1010;8729837;94711097.95
2015;Jurassic World: O mundo dos dinossauros;Ficção;Estados Unidos;Estrangeiros;11/06/2015;Universal;1001;1001;6356830;90710274.16
2017;It: A coisa;Ficção;Estados Unidos;Estrangeiros;07/09/2017;Warner;999;999;4414235;61909031
2016;Independence Day - O Ressurgimento;Ficção;Estados Unidos;Estrangeiros;23/06/2016;Fox;997;997;1829856;28268836
2015;Mad Max: Estrada da Fúria;Ficção;Estados Unidos;Estrangeiros;14/05/2015;Warner;996;996;2237587;33473875
2016;Zootopia: Essa Cidade é o Bicho;Animação;Estados Unidos;Estrangeiros;17/03/2016;Disney;991;991;2824460;38581611
2016;Deadpool;Ficção;Canadá, Estados Unidos;Estrangeiros;11/02/2016;Fox;988;988;6044324;81932430
2016;Caça-fantasmas (2016);Ficção;Estados Unidos;Estrangeiros;14/07/2016;Universal;979;979;1310703;19791405.14
2015;007 Contra Spectre;Ficção;Estados Unidos, Reino Unido;Estrangeiros;05/11/2015;Sony;971;971;2101350;31089863.14
2016;Angry Birds - O Filme;Animação;Estados Unidos, Finlândia;Estrangeiros;12/05/2016;Sony;969;969;1833793;24769195.61
2012;Batman: O cavaleiro das Trevas Ressurge;Ficção;Estados Unidos;Estrangeiros;27/07/2012;Warner;968;968;5146519;55062755
2016;O bom dinossauro;Animação;Estados Unidos;Estrangeiros;07/01/2016;Disney;963;963;3597713;48118131
2014;Operação Big Hero;Animação;Estados Unidos;Estrangeiros;25/12/2014;Disney;959;959;2718567;34540769
2011;Harry Potter e as relíquias da morte – Parte 2;Ficção;Estados Unidos;Estrangeiros;15/07/2011;Warner;951;951;5578408;57161800
2014;Como Treinar seu Dragão 2;Animação;Estados Unidos;Estrangeiros;19/06/2014;Fox;951;951;4612474;55053629
2014;A Culpa é das Estrelas;Ficção;Estados Unidos;Estrangeiros;05/06/2014;Fox;950;950;6165793;69101206
2015;Missão impossível - Nação secreta;Ficção;Estados Unidos;Estrangeiros;13/08/2015;Paramount;947;947;2711570;37272085
2015;Alvin e os esquilos: Na estrada;Animação;Estados Unidos;Estrangeiros;24/12/2015;Fox;945;945;3415118;38818305.38
2017;Kong - A Ilha da Caveira;Ficção;Estados Unidos;Estrangeiros;09/03/2017;Warner;938;938;1902480;29408965
2017;A Grande Muralha;Ficção;Estados Unidos;Estrangeiros;23/02/2017;Universal;937;937;1717008;27177013
2016;O Caçador e a Rainha do Gelo;Ficção;Estados Unidos;Estrangeiros;21/04/2016;Universal;935;935;1646209;24197400.06
2015;Cinderela;Ficção;Estados Unidos;Estrangeiros;26/03/2015;Disney;931;931;4200606;50087870
2010;Harry Potter e as relíquias da morte - Parte 1;Ficção;Estados Unidos;Estrangeiros;19/11/2010;Warner;929;929;4582365;39113501.8
2017;O Poderoso Chefinho;Animação;Estados Unidos;Estrangeiros;30/03/2017;Fox;928;928;3228749;46251571
2014;Guardiões da Galáxia;Ficção;Estados Unidos, Reino Unido;Estrangeiros;31/07/2014;Disney;927;927;2864866;38074404
2017;Emoji - O filme;Animação;Estados Unidos;Estrangeiros;31/08/2017;Sony;925;925;1683814;23675491.78
2013;Meu malvado favorito 2;Animação;Estados Unidos;Estrangeiros;05/07/2013;Universal;923;923;6997328;80640848.05
2016;A Lenda de Tarzan;Ficção;Estados Unidos;Estrangeiros;21/07/2016;Warner;917;917;2288390;35532600
2015;Os Pinguins de Madagascar;Animação;Estados Unidos;Estrangeiros;15/01/2015;Fox;911;911;3133464;40479073
2015;Terremoto: A Falha de San Andreas;Ficção;Estados Unidos;Estrangeiros;28/05/2015;Warner;910;910;2220110;32518952
2017;Extraordinário;Ficção;Estados Unidos;Estrangeiros;07/12/2017;Paris;907;907;4183535;57816055.19
2015;Maze Runner - Prova de Fogo;Ficção;Estados Unidos;Estrangeiros;17/09/2015;Fox;903;903;1986250;27272209
2014;Êxodo: Deuses e Reis;Ficção;Espanha, Estados Unidos, Reino Unido;Estrangeiros;25/12/2014;Fox;901;901;4151658;62521544
2016;Warcraft: O Primeiro Encontro de Dois Mundos;Ficção;Estados Unidos;Estrangeiros;02/06/2016;Universal;894;894;1386959;20913995.84
2015;Quarteto fantástico;Ficção;Estados Unidos;Estrangeiros;06/08/2015;Fox;892;892;1771829;21959665
2016;Carrossel 2 - O Sumiço de Maria Joaquina;Ficção;Brasil;Brasileiros;14/07/2016;Downtown/Paris;888;888;2525328;28590125.61
2017;Rei Arthur: A Lenda da Espada;Ficção;Estados Unidos;Estrangeiros;18/05/2017;Warner;888;888;952586;15523013
2016;Trolls;Animação;Estados Unidos;Estrangeiros;27/10/2016;Fox;886;886;1888204;26270665
2012;Madagascar 3: Os Procurados;Animação;Estados Unidos;Estrangeiros;08/06/2012;Paramount;885;885;5269118;59140818
2015;Peter Pan;Ficção;Estados Unidos;Estrangeiros;08/10/2015;Warner;882;882;1873398;26691342
2015;Divertida Mente;Animação;Estados Unidos;Estrangeiros;18/06/2015;Disney;879;879;3783700;45669875
2017;A torre negra;Ficção;Estados Unidos;Estrangeiros;24/08/2017;Sony;876;876;898802;12631206.03
2014;Frozen: uma Aventura Congelante;Animação;Estados Unidos;Estrangeiros;03/01/2014;Disney;872;872;4260040;51581925
2015;Homem-Formiga;Ficção;Estados Unidos;Estrangeiros;16/07/2015;Disney;860;860;2927606;41539259
2017;Os Smurfs e a Vila Perdida;Animação;Estados Unidos;Estrangeiros;06/04/2017;Sony;860;860;1464327;20896359.87
2017;Valerian e a cidade dos mil planetas;Ficção;França;Estrangeiros;10/08/2017;Diamond Films do Brasil;860;860;488270;7677512.49
2017;Kingsman: O Círculo Dourado;Ficção;Estados Unidos, Reino Unido;Estrangeiros;28/09/2017;Fox;853;853;1016303;16338502
2017;Alien: Covenant;Ficção;Estados Unidos, Reino Unido;Estrangeiros;11/05/2017;Fox;848;848;664264;9532684
2017;A Cabana;Ficção;Estados Unidos;Estrangeiros;06/04/2017;Paris;843;843;5117598;74766207.69
2013;Universidade Monstros;Animação;Estados Unidos;Estrangeiros;21/06/2013;Disney;842;842;3292806;36966520
2009;Lua Nova;Ficção;Estados Unidos;Estrangeiros;20/11/2009;Paris;841;841;5965054;47935346.88
2017;Power Rangers;Ficção;Estados Unidos;Estrangeiros;23/03/2017;Paris;841;841;1240526;15866589.2
2016;Inferno;Ficção;Estados Unidos;Estrangeiros;13/10/2016;Sony;830;830;2193152;32877121.3
2016;Cegonhas - A história que não te contaram;Animação;Estados Unidos;Estrangeiros;22/09/2016;Warner;830;830;1331915;18032197
2017;Lego Batman;Animação;Dinamarca, Estados Unidos;Estrangeiros;09/02/2017;Warner;826;826;1336388;19841259
2014;Debi e Lóide 2;Ficção;Estados Unidos;Estrangeiros;13/11/2014;Imagem;825;825;3071422;35482978.72
2015;Até que a sorte nos separe 3;Ficção;Brasil;Brasileiros;24/12/2015;Downtown/Paris;819;819;3335667;42262993.62
2015;Bob Esponja: Um Herói Fora d'água;Animação;Estados Unidos;Estrangeiros;05/02/2015;Paramount;818;818;3719487;48261491
2013;Percy Jackson e o Mar de Monstros;Ficção;Estados Unidos;Estrangeiros;16/08/2013;Fox;817;817;2147952;26423696
2017;Assassin's Creed;Ficção;França, Estados Unidos;Estrangeiros;12/01/2017;Fox;816;816;2058767;32815015
2016;Snoopy & Charlie Brown - Peanuts, o filme;Animação;Estados Unidos;Estrangeiros;14/01/2016;Fox;813;813;2278477;32341778.53
2017;Pica-Pau;Animação;Estados Unidos;Estrangeiros;05/10/2017;Universal;809;809;1617414;20967462
2014;300: A Ascenção do Império;Ficção;Estados Unidos;Estrangeiros;07/03/2014;Warner;807;807;2839023;40450403
2013;O homem de aço;Ficção;Estados Unidos;Estrangeiros;12/07/2013;Warner;799;799;2756522;36269302.7
2016;Como eu era antes de você;Ficção;Estados Unidos;Estrangeiros;16/06/2016;Warner;799;799;4272555;58292842
2017;Lego Ninjago - O Filme;Animação;Estados Unidos;Estrangeiros;28/09/2017;Warner;798;798;335204;4898201
2012;Homens de Preto 3;Ficção;Estados Unidos;Estrangeiros;25/05/2012;Sony;797;797;2649531;31344359.46
2014;Malévola;Ficção;Estados Unidos;Estrangeiros;29/05/2014;Disney;796;796;5756491;73652030.62
2016;As Tartarugas Ninja: Fora das Sombras;Ficção;Estados Unidos;Estrangeiros;16/06/2016;Paramount;792;792;1356462;18872369
2017;xXx: Reativado;Ficção;Estados Unidos;Estrangeiros;19/01/2017;Paramount;788;788;1298025;19757403
2016;O Lar das Crianças Peculiares;Ficção;Bélgica, Estados Unidos, Reino Unido;Estrangeiros;29/09/2016;Fox;784;784;2182599;32923221
2013;Até que a Sorte nos Separe 2;Ficção;Brasil;Brasileiros;27/12/2013;Downtown/Paris;778;778;3978191;45274441.66
2009;A Era do Gelo 3;Animação;Estados Unidos;Estrangeiros;03/07/2009;Fox;777;777;9281202;81126935
2013;Guerra mundial z;Ficção;Estados Unidos;Estrangeiros;28/06/2013;Paramount;777;777;2587204;33316551
2011;Piratas do Caribe: navegando em águas misteriosas;Ficção;Estados Unidos;Estrangeiros;20/05/2011;Disney;767;767;4445040;49099468.92
2016;Bruxa de Blair;Ficção;Estados Unidos;Estrangeiros;15/09/2016;Paris;763;763;804023;10655381.89
2017;A Vigilante do Amanhã - Ghost in the shell;Ficção;Estados Unidos;Estrangeiros;30/03/2017;Paramount;761;761;726736;12199295
2009;Harry Potter e o Enigma do Príncipe;Ficção;Estados Unidos, Reino Unido;Estrangeiros;15/07/2009;Warner;760;760;4530746;36185889
2010;Shrek para sempre;Animação;Estados Unidos;Estrangeiros;09/07/2010;Paramount;757;757;7368374;70471835
2014;As Tartarugas Ninja;Ficção;Estados Unidos;Estrangeiros;14/08/2014;Paramount;757;757;3366952;43787612
2013;Detona Ralph;Animação;Estados Unidos;Estrangeiros;04/01/2013;Disney;756;756;3639928;43007878
2014;Godzilla;Ficção;Estados Unidos;Estrangeiros;15/05/2014;Warner;756;756;1314631;17986302
2013;Os Smurfs 2;Ficção;Estados Unidos;Estrangeiros;02/08/2013;Sony;755;755;2946527;33716614.75
2011;Gato de botas;Animação;Estados Unidos;Estrangeiros;09/12/2011;Paramount;753;753;4492365;47093149
2013;Os Croods;Animação;Estados Unidos;Estrangeiros;22/03/2013;Fox;751;751;2789158;33613867
2015;O Pequeno Príncipe;Animação;Estados Unidos;Estrangeiros;20/08/2015;Paris;749;749;2043533;27853682.75
2015;Pixels;Ficção;Estados Unidos;Estrangeiros;23/07/2015;Sony;748;748;2355311;33729324.46
2017;Blade Runner 2049;Ficção;Estados Unidos;Estrangeiros;05/10/2017;Sony;744;744;904780;17154118.17
2014;Os Mercenários 3;Ficção;Estados Unidos;Estrangeiros;21/08/2014;Califórnia;740;740;2108500;24583284.69
2009;Avatar;Ficção;Estados Unidos;Estrangeiros;18/12/2009;Fox;738;738;9111628;102346712
2014;Robocop;Ficção;Estados Unidos;Estrangeiros;21/02/2014;Sony;734;734;2816772;33468464.81
2010;Tropa de elite 2;Ficção;Brasil;Brasileiros;08/10/2010;Zazen;733;733;11146723;103461153.74
2016;É fada!;Ficção;Brasil;Brasileiros;06/10/2016;Imagem;732;732;1722069;21240910.24
2013;Oz, mágico e poderoso;Ficção;Estados Unidos;Estrangeiros;08/03/2013;Disney;731;731;1914246;24165196
2012;Jogos Vorazes;Ficção;Estados Unidos;Estrangeiros;23/03/2012;Paris;723;723;1917140;19317017.39
2011;Kung Fu Panda 2;Animação;Estados Unidos;Estrangeiros;10/06/2011;Paramount;718;718;3033896;31295006
2012;De pernas pro ar 2;Ficção;Brasil;Brasileiros;28/12/2012;Downtown/Paris/RioFilme;718;718;4846273;50312134.36
2012;Valente;Animação;Estados Unidos;Estrangeiros;20/07/2012;Disney;705;705;3464618;37068415
2014;Aviões - Heróis do Fogo ao Resgate;Animação;Estados Unidos;Estrangeiros;17/07/2014;Disney;704;704;624828;7351610
2016;Star Trek: Sem Fronteiras;Ficção;Estados Unidos;Estrangeiros;01/09/2016;Paramount;698;698;833246;14500551
2017;Fala sério, mãe!;Ficção;Brasil;Brasileiros;28/12/2017;Downtown/Paris;696;696;883251;11433212.25
2017;Resident Evil 6 - O Capítulo Final;Ficção;Alemanha, Austrália, Canadá, França;Estrangeiros;26/01/2017;Sony;685;685;1214555;18924216.2
2009;2012;Ficção;Estados Unidos;Estrangeiros;13/11/2009;Sony;684;684;5279983;44728067
2012;O Espetacular Homem-Aranha;Ficção;Estados Unidos;Estrangeiros;06/07/2012;Sony;681;681;5145603;60473881.21
2015;Cada um na sua Casa;Animação;Estados Unidos;Estrangeiros;09/04/2015;Fox;675;675;1783872;23097128
2015;Golpe Duplo;Ficção;Estados Unidos;Estrangeiros;12/03/2015;Warner;673;673;1288436;16411314
2017;Passageiros (2017);Ficção;Estados Unidos;Estrangeiros;05/01/2017;Sony;672;672;1307677;22678007.98
2016;Truque de Mestre: O Segundo Ato;Ficção;Estados Unidos;Estrangeiros;09/06/2016;Paris;668;668;1952009;27057508.26
2016;Anjos da Noite - Guerras de Sangue;Ficção;Estados Unidos;Estrangeiros;01/12/2016;Sony;668;668;1135715;16410304.58
2013;Tá chovendo hambúrguer 2;Animação;Estados Unidos;Estrangeiros;04/10/2013;Sony;667;667;2480998;28733596.25
2014;Hércules;Ficção;Estados Unidos;Estrangeiros;04/09/2014;Paramount;666;666;2452143;33237809
2015;Perdido em Marte;Ficção;Estados Unidos;Estrangeiros;01/10/2015;Fox;665;665;1802671;29107566
2012;Os mercenários 2;Ficção;Estados Unidos;Estrangeiros;31/08/2012;Imagem;662;662;3166183;33115807
2017;Polícia Federal - A lei é para todos;Ficção;Brasil;Brasileiros;07/09/2017;Downtown/Paris;661;661;1360480;21553004.35
2011;Transformers: o lado oculto da lua;Ficção;Estados Unidos;Estrangeiros;02/07/2011;Paramount;655;655;3134578;35796388
2010;As crônicas de Nárnia: a viagem do Peregrino da Alvorada;Ficção;Estados Unidos;Estrangeiros;10/12/2010;Fox;653;653;2722970;25411764.31
2009;X-Men Origens: Wolverine;Ficção;Estados Unidos;Estrangeiros;01/05/2009;Fox;646;646;3199434;27352313
2014;As Aventuras de Peabody e Sherman;Animação;Estados Unidos;Estrangeiros;28/02/2014;Fox;646;646;1195543;15098639
2013;Aviões;Animação;Estados Unidos;Estrangeiros;13/09/2013;Disney;643;643;1207258;14302678
2015;Vai que Cola - O Filme;Ficção;Brasil;Brasileiros;01/10/2015;H2O Films;636;636;3307837;41803908.21
2010;O homem de ferro 2;Ficção;Estados Unidos;Estrangeiros;30/04/2010;Paramount;632;632;3227105;28358980
2015;Atividade Paranormal: Dimensão Fantasma;Ficção;Estados Unidos;Estrangeiros;22/10/2015;Paramount;632;632;1388210;20610193
2015;Cidades de Papel;Ficção;Estados Unidos;Estrangeiros;09/07/2015;Fox;630;630;1602111;19199490
2015;Poltergeist - O Fenômeno;Ficção;Estados Unidos;Estrangeiros;21/05/2015;Fox;630;630;1235290;16966300
2017;Fragmentado;Ficção;Estados Unidos;Estrangeiros;23/03/2017;Universal;628;628;1011581;15188106
2013;Reino escondido;Animação;Estados Unidos;Estrangeiros;17/05/2013;Fox;627;627;1369909;16661516
2017;Tempestade: Planeta em fúria;Ficção;Estados Unidos;Estrangeiros;19/10/2017;Warner;624;624;908175;14425207
2017;Eu fico loko;Ficção;Brasil;Brasileiros;12/01/2017;Downtown/Paris;620;620;559431;6848306.92
2015;Meu Passado Me Condena 2;Ficção;Brasil;Brasileiros;02/07/2015;Downtown/Paris;618;618;2639935;32941689.75
2013;Duro de matar: Um bom dia para morrer;Ficção;Estados Unidos;Estrangeiros;22/02/2013;Fox;617;617;1538081;17325098
2015;Carrossel, O Filme;Ficção;Brasil;Brasileiros;23/07/2015;Downtown/Paris;616;616;2537628;27221239.28
2013;Turbo;Animação;Estados Unidos;Estrangeiros;19/07/2013;Fox;615;615;1052338;12027358
2017;O Chamado 3;Ficção;Estados Unidos;Estrangeiros;02/02/2017;Paramount;614;614;1535871;21147560
2015;Uma Noite no Museu 3: O Segredo da Tumba;Ficção;Estados Unidos, Reino Unido;Estrangeiros;01/01/2015;Fox;610;610;2707296;30904464
2016;O Regresso;Ficção;Estados Unidos;Estrangeiros;04/02/2016;Fox;609;609;2645471;40213897.02
2011;Missão: Impossível - Protocolo Fantasma;Ficção;Estados Unidos;Estrangeiros;21/12/2011;Paramount;605;605;2530077;24467772
2015;Loucas pra Casar;Ficção;Brasil;Brasileiros;08/01/2015;Downtown/Paris;604;604;3726547;45688069.53
2012;A Origem dos Guardiões;Animação;Estados Unidos;Estrangeiros;30/11/2012;Paramount;597;597;2173218;25043729
2009;Anjos e Demônios;Ficção;Estados Unidos;Estrangeiros;15/05/2009;Sony;595;595;3059245;28006514.75
2014;O Candidato Honesto;Ficção;Brasil;Brasileiros;02/10/2014;Downtown/Paris;595;595;2237776;24827669.51
2015;No Coração do Mar;Ficção;Estados Unidos;Estrangeiros;03/12/2015;Warner;594;594;1031551;15740394
2016;O Bom Gigante Amigo;Ficção;Canadá, Estados Unidos, Reino Unido;Estrangeiros;28/07/2016;Disney;593;593;640571;9243301
2017;Meus 15 Anos;Ficção;Brasil;Brasileiros;22/06/2017;Downtown/Paris;593;593;742137;8985791.9
2017;Divórcio;Ficção;Brasil;Brasileiros;21/09/2017;Warner;592;592;487457;6580909
2017;As Aventuras do Capitão Cueca - O Filme;Animação;Estados Unidos;Estrangeiros;12/10/2017;Fox;583;583;565500;8633078
2014;Divergente;Ficção;Estados Unidos;Estrangeiros;17/04/2014;Paris;581;581;1206219;14366548.73
2012;Branca de Neve e o Caçador;Ficção;Estados Unidos;Estrangeiros;01/06/2012;Universal;571;571;2518398;24999741
2014;Uma Aventura Lego;Animação;Estados Unidos;Estrangeiros;07/02/2014;Warner;569;569;1036117;13477706
2014;Festa no Céu;Animação;Estados Unidos;Estrangeiros;16/10/2014;Fox;566;566;1058451;13048294
2017;As Aventuras de Tadeo 2 - O Segredo do Rei Midas;Animação;Espanha;Estrangeiros;21/12/2017;Paramount;566;566;312220;4247371
2013;Somos tão jovens;Ficção;Brasil;Brasileiros;03/05/2013;Imagem/Fox;565;565;1715763;18253649.24
2011;Os smurfs;Animação;Estados Unidos;Estrangeiros;05/08/2011;Sony;562;562;5097245;52157432.74
