695, 398, 295, 500
690, 398, 295, 505
685, 398, 295, 510
680, 398, 295, 515
675, 398, 295, 520
670, 398, 295, 525
665, 398, 295, 530
660, 398, 295, 535
655, 398, 295, 540
650, 398, 295, 545
645, 398, 295, 550
640, 398, 295, 545
635, 398, 295, 540
630, 398, 295, 535
625, 398, 295, 530
620, 398, 295, 525
615, 398, 295, 520
610, 398, 295, 515
605, 398, 295, 510
600, 398, 295, 505
595, 398, 295, 500
410, 395, 295, 500
415, 395, 295, 505
420, 395, 295, 510
425, 395, 295, 515
430, 395, 295, 520
435, 395, 295, 525
440, 395, 295, 530
445, 395, 295, 535
450, 395, 295, 540
455, 395, 295, 545
460, 395, 295, 550
465, 395, 295, 545
470, 395, 295, 540
475, 395, 295, 535
480, 395, 295, 530
485, 395, 295, 525
490, 395, 295, 520
495, 395, 295, 515
500, 395, 295, 510
505, 395, 295, 505
510, 395, 295, 500
405, 55, 295, 500
405, 60, 295, 505
405, 65, 295, 510
405, 70, 295, 515
405, 75, 295, 510
405, 80, 295, 505
405, 85, 295, 500
405, 370, 295, 500
405, 365, 295, 505
405, 360, 295, 510
405, 355, 295, 515
405, 350, 295, 520
405, 345, 295, 525
405, 340, 295, 530
405, 335, 295, 535
405, 330, 295, 540
405, 325, 295, 545
405, 320, 295, 550
405, 315, 295, 545
405, 310, 295, 540
405, 305, 295, 535
405, 300, 295, 530
405, 295, 295, 525
405, 290, 295, 520
405, 285, 295, 515
405, 280, 295, 510
405, 275, 295, 505
405, 270, 295, 500
725, 395, 295, 500
720, 395, 295, 505
715, 395, 295, 510
710, 395, 295, 515
705, 395, 295, 520
700, 395, 295, 525
695, 395, 295, 530
690, 395, 295, 535
685, 395, 295, 540
680, 395, 295, 545
675, 395, 295, 550
670, 395, 295, 545
665, 395, 295, 540
660, 395, 295, 535
655, 395, 295, 530
650, 395, 295, 525
645, 395, 295, 520
640, 395, 295, 515
635, 395, 295, 510
630, 395, 295, 505
625, 395, 295, 500
405, 380, 295, 500
405, 385, 295, 505
405, 390, 295, 510
405, 395, 295, 515
405, 395, 295, 520
405, 395, 295, 525
410, 395, 295, 530
415, 395, 295, 535
420, 395, 295, 540
425, 395, 295, 545
430, 395, 295, 550
435, 395, 295, 545
440, 395, 295, 540
445, 395, 295, 535
450, 395, 295, 530
455, 395, 295, 525
460, 395, 295, 520
465, 395, 295, 515
470, 395, 295, 510
475, 395, 295, 505
480, 395, 295, 500
405, 25, 295, 500
405, 30, 295, 505
405, 35, 295, 510
405, 40, 295, 515
405, 45, 295, 510
405, 50, 295, 505
405, 55, 295, 500
405, 395, 295, 500
405, 395, 295, 505
405, 390, 295, 510
405, 385, 295, 515
405, 380, 295, 520
405, 375, 295, 525
405, 370, 295, 530
405, 365, 295, 535
405, 360, 295, 540
405, 355, 295, 545
405, 350, 295, 550
405, 345, 295, 545
405, 340, 295, 540
405, 335, 295, 535
405, 330, 295, 530
405, 325, 295, 525
405, 320, 295, 520
405, 315, 295, 515
405, 310, 295, 510
405, 305, 295, 505
405, 300, 295, 500
705, 395, 295, 500
710, 395, 295, 505
715, 395, 295, 510
720, 395, 295, 515
725, 395, 295, 520
730, 395, 295, 525
725, 395, 295, 530
720, 395, 295, 535
715, 395, 295, 540
710, 395, 295, 545
705, 395, 295, 550
700, 395, 295, 545
695, 395, 295, 540
690, 395, 295, 535
685, 395, 295, 530
680, 395, 295, 525
675, 395, 295, 520
670, 395, 295, 515
665, 395, 295, 510
660, 395, 295, 505
655, 395, 295, 500
405, 350, 295, 500
405, 355, 295, 505
405, 360, 295, 510
405, 365, 295, 515
405, 370, 295, 520
405, 375, 295, 525
405, 380, 295, 530
405, 385, 295, 535
405, 390, 295, 540
405, 395, 295, 545
405, 395, 295, 550
405, 395, 295, 545
410, 395, 295, 540
415, 395, 295, 535
420, 395, 295, 530
425, 395, 295, 525
430, 395, 295, 520
435, 395, 295, 515
440, 395, 295, 510
445, 395, 295, 505
450, 395, 295, 500
405, 5, 295, 500
405, 0, 295, 505
405, 5, 295, 510
405, 10, 295, 515
405, 15, 295, 510
405, 20, 295, 505
405, 25, 295, 500
