Ano;Pos.;Clubes;Vitorias;Empates;Derrotas;GolsF/S;Saldo;Qtd_Jogadores;Idade_Media;Estrangeiros;Valor_total;Media_Valor
2015;7;Santos;16;10;12;59:41:00;18;37;23,5;1;25030000;676000
2015;4;Sao Paulo;18;8;12;53:47:00;6;42;24,7;3;88800000;2110000
2015;6;Sport;15;14;9;53:38:00;15;46;23,6;0;20850000;453000
2015;18;Vasco;10;11;17;28:54:00;-26;40;24,3;6;17400000;435000
2014;8;Athletico-PR;15;9;14;43:42:00;1;30;21,9;3;9050000;302000
2014;5;Atletico-MG;17;11;10;51:38:00;13;35;25,9;2;50950000;1460000
2014;18;Bahia;9;10;19;31:43:00;-12;44;24,4;6;16750000;381000
2014;19;Botafogo;9;7;22;31:48:00;-17;31;25,6;5;23450000;756000
2014;15;Chapecoense;11;10;17;39:44:00;-5;30;25,8;0;4400000;147000
2014;4;Corinthians;19;12;7;49:31:00;18;31;25,1;2;62850000;2030000
2014;14;Coritiba;12;11;15;42:45:00;-3;39;24,7;4;17600000;451000
2014;20;Criciuma;7;11;20;28:56:00;-28;41;25,9;1;13850000;338000
2014;1;Cruzeiro;24;8;6;67:38:00;29;32;25,7;4;41950000;1310000
2014;13;Figueirense;13;8;17;37:47:00;-10;28;24,5;0;4900000;175000
2014;10;Flamengo;14;10;14;46:47:00;-1;32;24,4;3;29100000;909000
2014;6;Fluminense;17;10;11;61:42:00;19;23;24,4;2;39150000;1700000
2014;12;Goias;13;8;17;38:40:00;-2;23;23,5;0;4250000;185000
2014;7;Gremio;17;10;11;36:24:00;12;31;22,9;4;30100000;971000
2014;3;Internacional;21;6;11;53:41:00;12;20;26;2;19750000;988000
2014;16;Palmeiras;11;7;20;34:59:00;-25;24;25;2;20100000;838000
2014;9;Santos;15;8;15;42:35:00;7;26;22;2;42350000;1630000
2014;2;Sao Paulo;20;10;8;59:40:00;19;37;24,8;3;93150000;2520000
2014;11;Sport;14;10;14;36:46:00;-10;45;25,8;1;8300000;184000
2014;17;Vitoria;10;8;20;37:54:00;-17;40;24,6;2;12550000;314000
2013;3;Athletico-PR;18;10;10;65:49:00;16;51;23,4;1;115800000;2270000
2013;8;Atletico-MG;15;12;11;49:38:00;11;47;23,1;3;15850000;337000
2013;12;Bahia;12;12;14;37:45:00;-8;43;24,8;1;46100000;1070000
2013;4;Botafogo;17;10;11;55:41:00;14;56;24;4;24050000;429000
2013;10;Corinthians;11;17;10;27:22:00;5;57;22,7;3;36000000;632000
2013;11;Coritiba;12;12;14;42:45:00;-3;39;24,7;4;84550000;2170000
2013;14;Criciuma;13;7;18;49:63;-14;67;23,9;5;31400000;469000
2013;1;Cruzeiro;23;7;8;77:37:00;40;44;24,4;1;15100000;343000
2013;16;Flamengo;12;13;13;43:46:00;-3;44;24,7;4;55250000;1260000
2013;15;Fluminense;12;10;16;43:47:00;-4;40;23,4;4;44450000;1110000
2013;6;Goias;16;11;11;48:44:00;4;48;23,4;7;68150000;1420000
2013;2;Gremio;18;11;9;42:35:00;7;38;24,1;0;8650000;228000
2013;13;Internacional;11;15;12;51:52:00;-1;52;24,1;6;77650000;1490000
2013;20;Nautico;5;5;28;0,971527778;-57;49;24,1;5;62300000;1270000
2013;19;Ponte Preta;9;10;19;37:55:00;-18;42;24,2;3;14050000;335000
2013;17;Portuguesa;12;12;14;50:46:00;4;55;23,1;3;13780000;250000
2013;7;Santos;15;12;11;51:38:00;13;47;23,8;2;16500000;351000
2013;9;Sao Paulo;14;8;16;39:40:00;-1;55;22,8;5;103750000;1890000
2013;18;Vasco;11;11;16;50:61;-11;49;24,5;5;27200000;555000
2013;5;Vitoria;16;11;11;59:53:00;6;52;23,4;4;17880000;344000
2012;19;Atletico-GO;7;9;22;37:67;-30;44;24,6;0;13850000;315000
2012;2;Atletico-MG;20;12;6;64:37:00;27;52;24,8;2;72700000;1400000
2012;15;Bahia;11;14;13;37:41:00;-4;44;23,5;0;18300000;416000
2012;7;Botafogo;15;10;13;60:50:00;10;52;23,1;4;37050000;713000
2012;6;Corinthians;15;12;11;51:39:00;12;44;24,1;6;61750000;1400000
2012;13;Coritiba;14;6;18;53:60;-7;55;23,3;3;24380000;443000
2012;9;Cruzeiro;15;7;16;47:51:00;-4;42;24,4;4;45800000;1090000
2012;20;Figueirense;7;9;22;39:72;-33;60;22,9;5;21950000;366000
2012;11;Flamengo;12;14;12;39:46:00;-7;57;23,8;6;67400000;1180000
2012;1;Fluminense;22;11;5;61:33:00;28;40;22,8;4;44200000;1110000
2012;3;Gremio;20;11;7;56:33:00;23;40;24,4;3;52800000;1320000
2012;10;Internacional;13;13;12;44:40:00;4;58;23,4;5;71850000;1240000
2012;12;Nautico;14;7;17;44:51:00;-7;45;24;2;10150000;226000
2012;18;Palmeiras;9;7;22;39:54:00;-15;56;23,8;3;51300000;916000
2012;14;Ponte Preta;12;12;14;37:44:00;-7;50;24,5;0;12500000;250000
2012;16;Portuguesa;10;15;13;39:41:00;-2;41;25,2;0;9100000;222000
2012;8;Santos;13;14;11;50:44:00;6;52;22,7;6;103650000;1990000
2012;4;Sao Paulo;20;6;12;59:37:00;22;49;23,2;3;106900000;2180000
2012;17;Sport;10;11;17;39:56:00;-17;45;24,1;1;15800000;351000
2012;5;Vasco;16;10;12;45:44:00;1;58;24;3;46450000;801000
2011;19;America-MG;8;13;17;51:69;-18;43;24,7;0;5950000;138000
2011;17;Athletico-PR;10;11;17;38:55:00;-17;43;23,4;4;23600000;549000
