CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
08450385000109;COMERCIO DE PRODUTOS MAIS LTDA;AVENIDA 25 DE AGOSTO,7540;;CIDADE ALTA;ROLIM DE MOURA;RO;Diesel S10;3,69;12/07/2018 19:45
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Gasolina C Comum;5,2;22/10/2018 11:13
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Etanol;3,4;22/10/2018 11:13
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Diesel S500;3,91;05/10/2018 14:30
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Diesel S10;3,99;05/10/2018 14:30
08742289000126;POSTO MANOELÃO;AVENIDA JOÃO PESSOA,4963;;CENTRO;ROLIM DE MOURA;RO;Gasolina C Comum;4,69;18/07/2018 09:47
08742289000126;POSTO MANOELÃO;AVENIDA JOÃO PESSOA,4963;;CENTRO;ROLIM DE MOURA;RO;Diesel S500;3,58;18/07/2018 09:47
08742289000126;POSTO MANOELÃO;AVENIDA JOÃO PESSOA,4963;;CENTRO;ROLIM DE MOURA;RO;Diesel S10;3,68;18/07/2018 09:47
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Gasolina C Comum;4,379;12/07/2018 10:31
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Etanol;3,599;12/07/2018 10:31
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Diesel S500;3,379;12/07/2018 10:31
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Diesel S10;3,479;12/07/2018 10:31
08963963000100;POSTO DE GASOLINA 6 DE MAIO LTDA - ME;AVENIDA DR MANUEL TELES,474;;CENTRO;DUQUE DE CAXIAS;RJ;Gasolina C Comum;4,999;13/07/2018 14:28
08963963000100;POSTO DE GASOLINA 6 DE MAIO LTDA - ME;AVENIDA DR MANUEL TELES,474;;CENTRO;DUQUE DE CAXIAS;RJ;Etanol;3,499;13/07/2018 14:28
08963963000100;POSTO DE GASOLINA 6 DE MAIO LTDA - ME;AVENIDA DR MANUEL TELES,474;;CENTRO;DUQUE DE CAXIAS;RJ;Diesel S10;3,499;13/07/2018 14:28
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Gasolina C Comum;4,899;24/09/2018 15:51
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Etanol;3,999;24/09/2018 15:51
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Diesel S500;3,599;24/09/2018 15:51
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Diesel S10;3,699;24/09/2018 15:51
09217206000142;AUTO POSTO PREMIUM;AVENIDA JOSE DE BRITO SOARES,1101;;ANHANGUERA;ARAGUAINA;TO;Gasolina C Comum;4,79;21/06/2018 16:57
09217206000142;AUTO POSTO PREMIUM;AVENIDA JOSE DE BRITO SOARES,1101;;ANHANGUERA;ARAGUAINA;TO;Diesel S500;3,399;21/06/2018 16:54
09217206000142;AUTO POSTO PREMIUM;AVENIDA JOSE DE BRITO SOARES,1101;;ANHANGUERA;ARAGUAINA;TO;Diesel S10;3,499;21/06/2018 16:54
09296287000113;AUTO POSTO MONTANA;AVENIDA GONÇALVES DIAS,3040;;JARDIM AEROPORTO;OURO PRETO DO OESTE;RO;Gasolina C Comum;4,92;04/10/2018 18:40
09296287000113;AUTO POSTO MONTANA;AVENIDA GONÇALVES DIAS,3040;;JARDIM AEROPORTO;OURO PRETO DO OESTE;RO;Etanol;3,95;21/07/2018 09:38
09296287000113;AUTO POSTO MONTANA;AVENIDA GONÇALVES DIAS,3040;;JARDIM AEROPORTO;OURO PRETO DO OESTE;RO;Diesel S500;3,89;02/10/2018 14:15
09299516000153;AUTO POSTO AGNELO;AVENIDA ACM,544;CASA;CENTRO;CICERO DANTAS;BA;Gasolina C Comum;4,8;06/10/2018 10:07
09299516000153;AUTO POSTO AGNELO;AVENIDA ACM,544;CASA;CENTRO;CICERO DANTAS;BA;Etanol;3,7;18/07/2018 10:45
09299516000153;AUTO POSTO AGNELO;AVENIDA ACM,544;CASA;CENTRO;CICERO DANTAS;BA;Diesel S10;3,9;06/10/2018 10:07
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Gasolina C Comum;4,729;03/11/2018 11:22
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Etanol;3,599;16/10/2018 09:41
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Diesel S500;3,929;03/11/2018 11:22
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Diesel S10;4,029;03/11/2018 11:22
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Gasolina C Comum;4,499;11/09/2018 11:24
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Etanol;2,699;11/09/2018 11:24
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Diesel S500;3,699;11/09/2018 11:24
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Diesel S10;3,799;11/09/2018 11:24
09612655000195;POSTO SATURNO;DISTRITO DE SERROTA,S/Nº;;ZONA RURAL;SENADOR SA;CE;Gasolina C Comum;4,87;03/08/2018 13:26
09612655000195;POSTO SATURNO;DISTRITO DE SERROTA,S/Nº;;ZONA RURAL;SENADOR SA;CE;Diesel S500;3,699;03/08/2018 13:26
10157722000108;ROTA 116;RUA ALEXANDRE DE GUSMAO,1455;;ESTANCIA VELHA;CANOAS;RS;Gasolina C Comum;4,769;08/10/2018 16:41
10157722000108;ROTA 116;RUA ALEXANDRE DE GUSMAO,1455;;ESTANCIA VELHA;CANOAS;RS;Diesel S500;3,589;08/10/2018 16:41
10254592000121;POSTO DE VILLE;RUA JOAO BOSCO MARQUES DE SOUSA,556;;GATO PRETO;SOUSA;PB;Gasolina C Comum;4,599;04/09/2018 09:09
